missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper
MARX	0.05	lin	dif	-0.000236348488505927	-0.0004371492432752445	-4.954936871371827e-05	-1.325578420760497	-2.3179786893769987	-0.43028484744877993	-1.3197996744523268	-2.29822514150947	-0.3885809950571524	-0.9744964141653739	-2.7650344031944405	0.9090838107320822	-9.722509355659632	-14.2397784872647	-4.994184785786168	-9.708706014384934	-14.046792084789224	-5.030639339346609
MARX	0.05	lin	ev	0.9999858193798389	0.9999856274879054	0.9999860363225412	0.9801063921007335	0.9789881034775846	0.9811671407887432	0.9801471529285436	0.9790594624944196	0.9812115065149998	0.9681460091165472	0.9656687665140431	0.9704030633561231	0.9439637616306201	0.9399145994790494	0.9494783483234442	0.9439194224717393	0.9399946995079466	0.9492622578883334
MARX	0.05	lin	mae	0.08081136444827756	0.08033101075411747	0.08130253838281822	1.3547977157185727	1.3035292293555478	1.4069285075243319	1.3528567790080501	1.3030930129699776	1.4044594441288762	1.8820483510259727	1.825235085023403	1.9340759120257223	3.298649300674335	3.191125759388818	3.4149926528763297	3.299843326933167	3.1887277572769706	3.4161287473794784
MARX	0.05	lin	mse	0.010165163742735883	0.010047998446388992	0.01029458935206575	14.273832423149111	13.620425742162661	15.119027173531066	14.244596990415392	13.628984381936768	15.08017029962393	22.856194714340937	21.214830257707817	24.660212408492942	40.21238355606254	36.14605084001572	43.38445629723978	40.2441450137363	36.27557862414305	43.376931096341195
MARX	0.05	lin	rmse	0.1008182605042216	0.10023970483185174	0.10146225542696227	3.7742269123318613	3.69058609249979	3.888319311180082	3.770360583886854	3.6917437711162164	3.8833189975309597	4.775488060425254	4.605955888081288	4.965904759084226	6.328264195577413	6.012157374100648	6.586684442949313	6.3307835619982	6.022920176872091	6.586112751166845
MARX	0.07631578947368421	lin	dif	-0.00023890153357255964	-0.0004435963853024654	-5.917178069166692e-05	-1.0855903132696176	-2.5834756166102393	0.6296055927497175	-1.0781104266371235	-2.5730317477792264	0.6370789430627486	0.22675465983880816	-2.1958579009055503	2.306783656168519	-8.285376746668145	-12.032629707458447	-5.029320478556752	-8.300700527202494	-11.961703904699684	-4.9138088607888335
MARX	0.07631578947368421	lin	ev	0.9999858283246692	0.9999856396446299	0.9999860534703506	0.971065195627059	0.9696785729368026	0.9728246318666867	0.9711215536113746	0.9697430625704087	0.9728799563788364	0.9556833644992139	0.9538363470152108	0.9578268330593915	0.9285468568376183	0.9231630819565552	0.9340681742623016	0.9284569537470969	0.9233021932775327	0.9340721400883703
MARX	0.07631578947368421	lin	mae	0.08083376932479407	0.08036253749825946	0.08145333051932614	1.8042147526930339	1.752521030173652	1.860549828059518	1.8018566880840472	1.749163574509768	1.8575963336087213	2.415214770907011	2.35935331159845	2.4623980380155253	4.052906440765689	3.938434397305324	4.1700317027730796	4.054623983803328	3.9385158336987547	4.175630584551014
MARX	0.07631578947368421	lin	mse	0.010169623057266907	0.010032027638315726	0.01029258017195107	20.764379601345127	19.46520072168041	21.90494495998557	20.723876803717747	19.455245701374256	21.843911784929606	31.796580293445196	30.319470813418924	32.97635766049827	51.27702707564075	47.06532005752751	54.28657248506371	51.34177879443047	47.01956955604185	54.294131029216246
MARX	0.07631578947368421	lin	rmse	0.10084011980931837	0.10016001012952681	0.10145235342438297	4.553304581303202	4.411938371628052	4.6802718874035865	4.548861876423592	4.41080967904108	4.673746830831255	5.635480189862825	5.506311804872692	5.742497561182079	7.152240812211301	6.860416900706028	7.367913587571112	7.156760328903911	6.857080038825307	7.3684070837823255
MARX	0.10263157894736842	lin	dif	-0.00020442688757861885	-0.00038444027852359806	2.76574596515429e-06	-1.5609438295913713	-3.657854689689275	0.33581573414419097	-1.5646507817744868	-3.6665055104263526	0.3512734789375971	-0.7442727747064213	-3.1746511363805343	1.9290903103061776	-8.064133675602713	-11.847152928169656	-4.120498822353085	-8.048461809201445	-11.81367693850619	-4.035797630082412
MARX	0.10263157894736842	lin	ev	0.9999858493098388	0.9999856033842129	0.9999860704535638	0.961607483373192	0.9596660894306044	0.9633598843602977	0.9616668493109948	0.9596609641882806	0.9634323324646837	0.9409041797053428	0.9385560137133375	0.9436179545457989	0.9152462959430647	0.9111507991660155	0.9199539786111495	0.9151723371286571	0.911333043111979	0.9198400323134359
MARX	0.10263157894736842	lin	mae	0.08075861180799158	0.08018757119943432	0.08124836206891567	2.224916388522171	2.172181944586022	2.2801788580682976	2.222262971787341	2.17013870753863	2.2771491854548174	2.9227526370710604	2.8524261740977637	2.984287973698334	4.597808139873057	4.512468273034148	4.671222888332348	4.599296712555052	4.517596310891072	4.676444175474462
MARX	0.10263157894736842	lin	mse	0.010148960044404114	0.010040562510670382	0.010265650892915087	27.54923889113856	26.24120105916265	28.898097708076424	27.506664249606647	26.25099018741747	28.843093176445464	42.40312810813752	40.354170224151744	44.08829973405916	60.81163032909635	57.64489615637703	63.47544701227483	60.864904126379216	57.78287324877872	63.52150420520821
MARX	0.10263157894736842	lin	rmse	0.10073782990432674	0.10020260722865144	0.10131954818764345	5.245614941571734	5.122616566475085	5.375694144327293	5.241541667075484	5.123571416379667	5.370575907460299	6.508346344250966	6.352493186972737	6.639901969093282	7.79235847826347	7.592423227834298	7.967147806414966	7.795731696159655	7.601502961481463	7.970037702348657
