missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper
MARX	0.05	lin	dif	-0.000158485687408111	-0.00031932056992255327	3.6839167186719646e-05	-28207197.35129092	-36678836.244606405	-18518209.294217378	-28207393.018984508	-36719092.72778653	-18604454.29207339	-9194676.777557418	-18087533.190436076	1744183.9554048218	-33419046.34517906	-41950667.71473997	-22945858.121028766	-33419046.26656902	-41950667.65346582	-22945857.90960858
MARX	0.05	lin	ev	0.9999999999985627	0.9999999999985407	0.9999999999985867	0.9860328356982185	0.9850576214199139	0.9872068479924668	0.9860344412563806	0.9850279375971904	0.9872096363643532	0.9848449310810865	0.9835481422308978	0.9862412474114146	0.9878864851403379	0.9869552340637839	0.989249265223101	0.9878864851444262	0.9869552340705525	0.9892492652132877
MARX	0.05	lin	mae	0.07921185910485436	0.07878941623250311	0.07976029143901645	2494.09446475767	2412.4247264802493	2575.4824501872245	2493.469585519742	2411.0153407168127	2579.2617839390223	2635.5962754988054	2520.2020470201046	2734.5803679771316	2552.0127079953827	2415.5346332113804	2701.7511297881624	2552.0127081770743	2415.5346394158273	2701.751125751768
MARX	0.05	lin	mse	0.009818293471431577	0.009718017745175564	0.009926814739452162	95483878.49650246	87487957.75312233	102892560.89272079	95472891.70437126	87412702.44725482	103161401.25811735	103587089.74160169	93971601.66087048	111959800.72276706	82785759.70720954	73578835.57025132	89661325.33878238	82785759.6810283	73578835.59885472	89661324.78486851
MARX	0.05	lin	rmse	0.09908365009129701	0.09858000544479495	0.09963340126339995	9754.580466783835	9353.484093803847	10143.596757700398	9753.955136442519	9349.465324811033	10156.840085507814	10159.858040029967	9693.89429326052	10581.095436123229	9061.04735912233	8577.804139332464	9468.960039229209	9061.047357621346	8577.804141000812	9468.96001003161
MARX	0.07631578947368421	lin	dif	-0.00015065076095496097	-0.00033782363289413826	1.3747370591562363e-05	-30633889.863678947	-38585642.00327614	-21735446.231153835	-30652842.86629799	-38810291.1544262	-21388022.882452056	-11615627.860660952	-22302859.19528514	875664.5263643302	-32573941.836281978	-44554358.90977422	-20304504.29575849	-32573941.97553503	-44554358.769467235	-20304504.014518104
MARX	0.07631578947368421	lin	ev	0.9999999999985625	0.9999999999985378	0.9999999999985855	0.9797453855144118	0.9789036755538147	0.9808981256673474	0.9797422401133286	0.978862235307479	0.9808373891239128	0.978035814044391	0.9769169931749311	0.9795134129750687	0.9833795991402069	0.9820501980756516	0.9850975907712932	0.9833795991199821	0.9820501980189796	0.985097590837631
MARX	0.07631578947368421	lin	mae	0.07921156491085596	0.07865364502833712	0.07976110550622315	3669.875904819961	3557.3524881991525	3753.565531477021	3670.0998491595337	3558.648990947109	3754.4984684721658	3802.9298913775965	3708.028133892391	3915.6277097714456	3403.2293860857526	3286.3488092244825	3517.4388521465494	3403.229390057251	3286.34880952189	3517.4388639903295
MARX	0.07631578947368421	lin	mse	0.009816176121247643	0.009707109143457827	0.009941753842431119	138452549.45324484	129750317.05072784	145288433.90703472	138474682.55093282	129827001.03514013	145426498.6644616	150136644.13516536	139795053.98944864	158298801.36544427	113598102.667887	101598463.37583393	123689585.05618565	113598102.80553441	101598463.55120417	123689585.00730777
MARX	0.07631578947368421	lin	rmse	0.09907314610589428	0.09852466261466186	0.09970834135797368	11752.66421889827	11390.799179563905	12053.564652358618	11753.627584287557	11394.164870621695	12059.289970185426	12240.489036685545	11823.495810134715	12581.68473165204	10634.163927106414	10079.594523530914	11121.580224466457	10634.163933245758	10079.594532249092	11121.58022226415
MARX	0.10263157894736842	lin	dif	-0.0001716686910832266	-0.00035400428003021017	8.913723035414243e-06	-28637989.654977962	-39775813.55042161	-19597496.160801314	-28667426.50183719	-39451822.74229709	-19360427.05697473	-8986364.316982567	-21220348.30187866	3988245.9751240015	-29600552.555609554	-40343182.19073598	-18642511.887582548	-29600552.555588298	-40343181.906782605	-18642512.91047514
MARX	0.10263157894736842	lin	ev	0.9999999999985608	0.9999999999985376	0.9999999999985871	0.9737283915305989	0.9724345627262474	0.9749266138581301	0.9737232870508957	0.9724828787505675	0.9749909149917457	0.9712493661609635	0.9698105277721131	0.9727828431473862	0.9789284881736474	0.9772605211498389	0.980496255647565	0.9789284881700037	0.9772605211603147	0.9804962555979777
MARX	0.10263157894736842	lin	mae	0.07922092453124158	0.078681061509471	0.07964725746221447	4849.8333059657	4731.203945138117	4967.079967330605	4849.666580486237	4730.418937279622	4967.397897947645	5009.218079530507	4896.053373513626	5139.7550218379465	4192.841192276612	4078.0630608977535	4316.151807519929	4192.84119306683	4078.0630760708327	4316.151806520382
MARX	0.10263157894736842	lin	mse	0.009827484536231454	0.009713034292364902	0.009944725682818348	179608170.82387266	171233159.87786072	189366118.24429587	179642340.5643999	171176433.05290487	189217337.2836671	196543560.64081565	186538768.2254121	204928087.27617934	144023102.07027066	132722804.30993582	154685030.7183994	144023102.0947882	132722804.1666522	154685030.62136206
MARX	0.10263157894736842	lin	rmse	0.09913006457042639	0.09855472707074178	0.09972324536161803	13391.865109748775	13085.607741596148	13761.035350863083	13393.22013153901	13083.44109429294	13755.628108505367	14009.417598689406	13657.919189879209	14315.308881712357	11984.340810651209	11520.538101441045	12437.241737034492	11984.34081176987	11520.538095223626	12437.241733140443
