missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper
MARX	0.05	lin	dif	-0.07544313802309385	-0.14368329790010828	-0.0013467939682580005	-0.07237217396657367	-0.14123163104801903	0.001551791071167652	-0.07246967039633953	-0.1409413407834627	0.0016327527309704937	-0.0692939831391672	-0.1392942322698134	0.006422353342655479	-0.07207859351050522	-0.1402087192503264	0.0016151376898334846	-0.07034001961270685	-0.13972909086605276	0.005064012579486604
MARX	0.05	lin	ev	0.3707780073056049	0.3355947544847631	0.4209944405684746	0.36522168101486097	0.33102429450113957	0.41421585103315034	0.3646453590263898	0.3300946199476965	0.41463238450071294	0.357054075483037	0.32300560903487274	0.4061997404989649	0.36603296864710744	0.3321345789355311	0.41508124502685273	0.3603568807844221	0.3265649968171867	0.4091180084225221
MARX	0.05	lin	mae	0.4905695278423544	0.4690659237445676	0.5114911887490781	0.4931382697056251	0.47257616953972065	0.513313558631218	0.4920694093585715	0.4712227749266343	0.5123777029978308	0.4942248728326161	0.47370215269651056	0.5144765682644749	0.4925436134743214	0.4717072368352242	0.5128412517543771	0.49358375759346895	0.4722273377031996	0.5142146995207388
MARX	0.05	lin	mse	0.4960651067844889	0.4493195810601237	0.5396232148453298	0.501083785361592	0.45421645453023657	0.5432769159261792	0.5015814473246961	0.4542483685860611	0.5451302757836186	0.5076020330703809	0.45823223368084176	0.5514454883972787	0.5003788916168971	0.45390916110431445	0.5428379836968482	0.5049405252464625	0.4570766616736131	0.5488124536502103
MARX	0.05	lin	rmse	0.7026433556014418	0.6703130470150155	0.734590506818597	0.7062395502681728	0.6739558252700817	0.7370732053249937	0.706564222234697	0.6739794999553641	0.7383293790464355	0.7107852409943356	0.6769285292225842	0.7425937571646994	0.7057625879168692	0.6737278090743873	0.7367753952640754	0.7089416543834791	0.6760744498002503	0.7408187705106386
MARX	0.07631578947368421	lin	dif	-0.078755033406975	-0.14839457715043108	-0.002610493733492869	-0.07327849642843985	-0.144500159681358	0.004741612642943746	-0.07350192648263737	-0.14579836652305062	0.004957703013633505	-0.06956941726237797	-0.14510504899192633	0.012215213653013826	-0.07301459923537626	-0.14337938060085068	0.002488398881977827	-0.07030149823960825	-0.1426421722681182	0.00705575464311152
MARX	0.07631578947368421	lin	ev	0.36796056512593656	0.33062209870669007	0.420783852672001	0.3571726986157165	0.3186081159898191	0.4088804858454248	0.35583539868644326	0.3161220975789365	0.4093942616230477	0.3404596559143065	0.29906118168062756	0.3941805953395921	0.3585128164201884	0.3202379796166216	0.410053662969163	0.34759133014300225	0.3088112708768795	0.399966684131997
MARX	0.07631578947368421	lin	mae	0.49183869529379315	0.4693029702836734	0.5139540670935495	0.4966280231409754	0.4760717340082454	0.5166627557652997	0.49458960508826794	0.4740775845040651	0.5146567626155436	0.4989452747872234	0.4773739565660843	0.5196592742644417	0.4957466951746215	0.47532837673779604	0.5156949402270248	0.49784081217909865	0.4765181654922043	0.5185702303452469
MARX	0.07631578947368421	lin	mse	0.4981094915864254	0.44727878673411303	0.5447989301007703	0.5075310317931484	0.45847214815127535	0.551193067795366	0.5086161323977706	0.4588557070116989	0.5538626806075067	0.5206983014174373	0.4703212627005819	0.5668733984248614	0.5064574263018516	0.4582289943882338	0.5502323147930456	0.5150965408546394	0.4647627496355016	0.558772100468877
MARX	0.07631578947368421	lin	rmse	0.7039329522871708	0.6687890449316648	0.7381049582019016	0.710710450643509	0.6771057127523781	0.7424237790947085	0.7114211771966196	0.6773888889135418	0.7442195100792994	0.7198532280720968	0.6857997228819608	0.7529099533754963	0.7099776290984721	0.6769261315841241	0.7417764587734461	0.7159904249828856	0.6817351015834976	0.7475106022152406
MARX	0.10263157894736842	lin	dif	-0.08102819503569919	-0.1540566009549151	-0.006228518908788019	-0.07394814320045368	-0.14644597472060122	0.004764136217206991	-0.07409311769309813	-0.14966311690115408	0.0054054048489383805	-0.06925724528800754	-0.14387901025527638	0.014460526882407038	-0.07349556131413829	-0.1457396314769876	0.0042929044433932945	-0.07058622041007953	-0.1463639233449459	0.010326558260905713
MARX	0.10263157894736842	lin	ev	0.36719716491488386	0.33122150563427377	0.41912425921811913	0.3519453575194269	0.31608592404401237	0.4030215200078726	0.3504953100459734	0.3131502094892439	0.40285313638222864	0.33015592407723143	0.29122069994600763	0.3832722736414196	0.3533585943850457	0.3178249542912434	0.40417258220574237	0.33887420059779744	0.3008743149861451	0.3916596200204897
MARX	0.10263157894736842	lin	mae	0.49236257402982814	0.46982802459575235	0.5142135023147487	0.49915739872163645	0.479100347910358	0.5189267549662397	0.49643632620996636	0.4760151849070414	0.5165895889030698	0.5024893149271928	0.48136836337541616	0.5232748734614802	0.4980112523114144	0.47752502620818876	0.5183843661384527	0.5007035734216458	0.4798001871457285	0.5219344286154192
MARX	0.10263157894736842	lin	mse	0.49859900063088164	0.44948517172458885	0.5463748402260444	0.5119367972620524	0.4611832725308902	0.5579014542439252	0.5131445909665514	0.4608616727958243	0.560861730469278	0.5292078696588671	0.4744541065954024	0.5779280411585622	0.51080683162661	0.46063645547843757	0.5564286135177018	0.5223163978736834	0.4698547932277604	0.569768308568086
