missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper
MARX	0.05	lin	dif	-0.32067953840450786	-0.7504465093572232	0.06725640079717454	-409828.76117725985	-514992.0343141164	-285264.9175360515	-409513.5686921983	-512047.5929297769	-287236.0631843561	-102670.23921672102	-312387.4822271295	77004.76491798746	-3101319.8567857384	-3842575.9675897593	-1878254.9699316742	-3101319.852872699	-3842575.9125568103	-1878254.9278238514
MARX	0.05	lin	ev	0.9999996348984452	0.9999996298104117	0.9999996410190595	0.9775683553690453	0.9760625252720783	0.9795163998962981	0.9775824692342562	0.9760924843613962	0.9795345821919986	0.9655402236393203	0.9634747573032066	0.9681236147450235	0.8621507810031857	0.8484051268994518	0.8777351787827583	0.8621507810390405	0.8484051275210351	0.877735178841812
MARX	0.05	lin	mae	3.962932530787894	3.9388721937883613	3.98870672816141	471.27388450411604	450.7908545756796	488.72109752988666	471.1711713003582	450.77186797097266	489.3891249032269	650.1531919925371	632.277137628679	669.7819061515956	1789.5679219848857	1744.5393763139941	1835.698662819159	1789.5679218637933	1744.5393778272742	1835.6986632363673
MARX	0.05	lin	mse	24.900605785037584	24.648257121594476	25.18717389839278	1531125.1827247422	1398231.3331213694	1644221.5412421986	1530160.5070740494	1393032.7766320661	1639031.841917626	2352206.732989373	2178682.691618935	2473835.4310383624	9410742.181653783	8383913.915724248	10254054.563715179	9410742.179253146	8383913.908660496	10254054.534844058
MARX	0.05	lin	rmse	4.989859065092743	4.9647008802045836	5.01868247568719	1235.2116147520144	1182.4677304299312	1282.2720106657553	1234.8222589732345	1180.2678452461346	1280.2465332455693	1531.7613367950178	1476.0360796624125	1572.8430761413272	3058.464189689112	2895.498404701604	3202.1884306704324	3058.4641892928485	2895.498403483168	3202.188426157789
MARX	0.07631578947368421	lin	dif	-0.33252381907014994	-0.7770091029924711	0.1287752576234853	-415111.02913574106	-572543.1568094769	-243754.22943103913	-414702.6364329997	-574515.0739715034	-241500.2839494176	-111963.5290636488	-283525.796317603	87161.09257848829	-1759060.626173659	-2359046.062307008	-1055595.6876640664	-1759060.6219911606	-2359046.15546366	-1055595.6527099083
MARX	0.07631578947368421	lin	ev	0.9999996351536034	0.9999996291869941	0.9999996411213069	0.9688871951555498	0.9670528578007873	0.9704581065153175	0.9689039586766003	0.9670791493112723	0.9704127221114875	0.9528116978361798	0.9496844480318385	0.9555901435036425	0.8581965164792486	0.8514503735398489	0.8659910699345057	0.8581965165265473	0.851450373378867	0.8659910699718387
MARX	0.07631578947368421	lin	mae	3.9634277132836773	3.931952226594707	3.9918512768997405	607.1973530994219	590.390042210826	626.6309956843653	607.0239180270651	590.8337963583442	626.2204843482473	825.3669508168178	809.5667196072941	837.8779259198376	2104.2864743218674	2078.767543591468	2136.8038367868353	2104.2864742977217	2078.7675436655	2136.8038366736528
MARX	0.07631578947368421	lin	mse	24.916038413286742	24.584436089326225	25.219271475456946	2124446.1925943764	1991173.0047581128	2249490.7386703705	2123301.8667870928	1988291.1178169604	2252379.9553783964	3221288.2114396356	3025295.888308307	3403886.8390684165	9678126.827748938	9104412.31331418	10129105.314191852	9678126.82443603	9104412.309653375	10129105.31842899
MARX	0.07631578947368421	lin	rmse	4.991377872703427	4.958269417966552	5.021879276969284	1455.9836469111929	1411.089208745784	1499.8269533708449	1455.589559820407	1410.0677466709658	1500.7920764666105	1793.3161872323792	1739.3375756654737	1844.9569523038558	3108.386641168559	3017.351654082985	3182.625409814709	3108.3866406259062	3017.3516534764085	3182.62541048006
MARX	0.10263157894736842	lin	dif	-0.3803359150791249	-0.8112889614698169	0.09004428211522253	-375727.2768758283	-545137.4121678423	-185865.4784204776	-375281.28798555763	-544778.6632813473	-188937.02631654462	-76978.91555647105	-273257.1348048826	170137.36682705348	-1044745.8017708927	-1446749.4575710106	-622681.7278241073	-1044745.8006681895	-1446749.452721754	-622681.7317172168
MARX	0.10263157894736842	lin	ev	0.9999996345845744	0.9999996287181527	0.9999996412990393	0.9599531859554326	0.9581553317143158	0.9620931205965086	0.9599815999419736	0.958264211745036	0.9621088408742066	0.9397271739681367	0.9378372205316128	0.941677931312833	0.8526323899046764	0.8474153557084241	0.8590752441788871	0.8526323898882747	0.8474153559392034	0.8590752441036533
MARX	0.10263157894736842	lin	mae	3.9679758795846913	3.9404028974043572	3.9920034384295064	739.0339801731794	720.8724173278217	755.6559738577307	738.7383044113288	720.9315106592078	756.5227582521767	996.4491813494443	976.3933494905136	1013.6775286543198	2281.3573144703364	2256.50927377524	2301.8510404644708	2281.357314432767	2256.5092735761164	2301.851040100776
MARX	0.10263157894736842	lin	mse	24.950993069455237	24.626767671176694	25.226841704654095	2733502.6429536985	2607995.2708449755	2855294.176200296	2731559.680052157	2605183.5064826757	2848351.4520559097	4113648.4455048447	3955874.010008774	4231524.882539698	10054236.220562233	9681096.875718001	10346425.20884245	10054236.221651873	9681096.878715802	10346425.201237272
MARX	0.10263157894736842	lin	rmse	4.994822447949572	4.96253641460107	5.022632938015291	1651.9190818503491	1614.9287890022974	1689.7612000901145	1651.345496541709	1614.0580852430012	1687.7057526767085	2026.8296899036022	1988.9379067977006	2057.066395867805	3169.6714113140933	3111.4456914122775	3216.5823473926444	3169.671411500121	3111.445691893921	3216.5823462128374
